start_time_sec,end_time_sec,annotation
1.5,2.299,Hej
3.5,4.0,Nej
9.9,10.3,Mm
20.899,21.5,Jaha
27.1,27.6,Ja
35.1,37.7,Ja för det finns väl redan för vuxna ändå
46.899,47.7,Precis
48.2,51.6,Men vad är det är det Snapchat
52.6,53.0,Ja
55.899,56.299,Ja
64.4,66.799,Ja av sina föräldrar
82.0,83.5,Kommer det senare Berätta
85.299,85.7,Ja
95.9,96.4,Nej
99.9,101.599,Ja absolut
115.4,116.099,Så är det
116.5,120.5,Absolut tacka gudarna det har man ju själv gjort när man var tonåring
127.2,127.799,Men
139.4,145.3,Just det men är det så att du har egna erfarenheter av det med din sida av mamma
150.8,151.9,Alltså
153.099,153.699,Aha
154.599,156.099,Ah okej jag förstår
157.599,158.099,Att
170.699,171.3,Dels ska
171.599,174.5,Men vem har inte gjort så
175.5,176.0,Mm
192.9,193.9,Just det
194.9,195.599,Hmm
196.8,197.4,Hmmm
197.8,201.699,Det är faktiskt värre då att inte ha den där trackingappen
202.0,202.599,Hmm
217.0,225.9,Nej alltså egentligen så tycker jag att det här jag förstår idén jag tycker att det är en inte så pjåkig idé men nu när du tog upp de här grejerna i och för sig så
226.199,227.199,betyder det också
227.4,227.8,Men eh
228.099,232.099,Det känns ju absolut viktigare för föräldrar att på något sätt kanske försöka
233.0,234.8,Ja men utveckla någon strategi
235.199,235.9,Där barnen
236.099,241.3,Våga berätta vad som händer För mig var det så när jag var tonåring
242.0,248.0,Ja men det var ju väldigt många gånger som mamma inte visste var jag var men om det verkligen krisade så kunde jag ju ringa henne i alla fall
249.0,249.9,Hur var det för dig
254.8,255.3,Ja
264.399,265.6,Ja verkligen
273.399,273.8,Ja alltså
275.199,275.699,Ja
279.3,280.1,Ja
280.6,287.399,Om det verkligen sker en jätteallvarlig situation säg att någon skulle bli kidnappad eller så då är det ju jättebra med den här typen av appar
288.3,288.6,Ja
305.5,306.199,Det är juiska
313.699,314.8,Nej inte jag heller
345.899,355.1,Det låter som att du menar lite att den här appen skulle vara typ som en förlängning eller påbyggnad på hela den här kulturen nu
355.3,357.3,Digitalisera allt och ta genvägar genom
357.699,358.3,tekniken
360.1,360.8,Hmmm
364.6,365.1,Ja
365.899,369.0,Nej jag förstår vad du menar absolut
375.399,381.399,Å ena sidan tänker man ju att om föräldrarna får övervaka barnen så varför skulle inte barnen få övervaka föräldrarna
381.899,382.6,Vad tycker du
396.6,397.399,Ja just det
405.399,406.8,I för sig ja
416.199,416.899,Ja just det
427.8,428.5,Just det
428.899,433.1,Just det och det tycker jag borde vara föräldrarnas ansvar i sådana fall
434.3,435.199,Vad tycker du
436.1,436.5,Mm
439.5,439.899,Ja
440.699,441.399,Precis
442.5,443.199,Absolut
453.699,454.8,Ja ja
472.199,472.899,ställa
474.0,476.1,Jag tror många föräldrar
476.6,486.0,Visst det såklart har att göra med kontrollbehov men jag tror många föräldrar har den här trackingappen just för att de ska känna sig lugna De är oroliga för vad som kan hända
487.0,487.899,Tror du vad jag menar
489.699,490.3,Ja
496.5,497.0,Ja
507.3,508.199,Ah okej
511.5,512.0,Aha
517.399,518.799,Oj okej
519.399,520.5,Det har jag inte hört talas om
528.7,529.399,Ja
534.299,535.0,Absolut
535.6,536.5,Absolut
537.399,540.7,Det håller jag med om
541.0,549.2,Den person som blir förföljd borde kunna stänga av det på något sätt
549.7,553.2,Det tycker jag Så det måste vara en överenskommelse mellan de två
554.7,556.1,Det tycker jag låter rimligt
556.5,557.0,Jag kan
560.899,561.299,Ja
563.1,563.799,faktiskt
564.2,576.1,Sen förstår jag också du pratade lite om att vi har alltid varit oroliga för våra barn till exempel men jag kan tänka mig att många upplever att världen är farligare nu på något sätt
576.5,581.899,Det är väl sant men att det är en större risk att hänga ute sent på kvällarna
582.1,583.0,Vad tror du att dessa
584.799,585.2,Nej
589.799,590.2,Ja
