start_time_sec,end_time_sec,annotation
10.0,10.4,
12.8,13.5,
54.0,54.7,
70.2,71.5,
125.3,125.9,
166.6,167.2,
170.3,170.8,
171.7,172.4,
219.1,219.8,
224.8,225.3,
227.9,228.4,
307.7,308.4,
311.4,312.2,
340.7,341.4,
347.9,348.6,
352.0,352.6,
357.5,358.2,
368.0,368.8,
381.6,382.4,
383.1,383.9,
436.2,437.1,
444.7,445.3,
447.6,448.3,
454.3,455.2,
457.4,458.2,
460.3,461.8,
507.4,508.0,
514.3,515.0,
516.4,517.1,
523.2,523.8,
528.5,530.0,
533.4,534.1,
555.6,556.4,
556.9,557.6,
559.0,560.0,
569.4,570.8,
574.3,575.0,
