start_time_sec,end_time_sec,annotation
0.4,1.0,hallå
2.6,3.3,hej
4.6,6.7,det är jag som är Caroline det är vi som ska prata
8.9,9.4,hej
10.3,12.8,ja det är bra det var ju lite krångligt där
13.4,15.7,men jag hoppas allting funkar för dig också att ligga där inne
23.7,24.1,okej
24.4,24.7,ja
25.1,25.5,vad bra
25.9,29.1,eh jag har ju faktiskt inte fått ta del av de här dilemmana
29.4,30.6,som vi ska prata om så att
31.0,33.1,du kanske vill börja med att berätta vad det är vi ska prata om
90.1,92.1,jo men eh ja
92.5,94.2,jag håller med dig ändå
94.5,95.0,alltså
95.7,95.9,det
96.6,99.4,ja det jag kan verkligen se fördelar och nackdelar med det
100.8,101.5,ehm
102.0,103.0,men ehm
104.0,105.3,det beror på lite
105.8,108.1,alltså det skulle ju såklart det blir ju såklart orättvist
109.4,111.4,men kanske att man skulle kunna
113.2,120.6,kanske att det skulle kunna komma någon såhär om det om det släpptes på marknaden kanske det skulle kunna komma någon piratkopia på det där pillret till slut eller så
207.1,209.3,nej men det tänkte jag fråga dig om eh
210.0,217.3,om om det var för att du sade att det här pillret gjorde så att man slutar åldras om det var så att man liksom också skulle leva för evigt eller om
217.7,220.9,det blir så att man slutar åldras men man lever ett
221.1,222.0,ett normalt
222.2,223.1,längd
223.3,224.1,på livet?
226.5,228.0,ja precis
240.3,241.2,jag tycker att
242.1,242.5,det
243.3,246.3,visst jag skulle kunna tänka mig och vilja att leva längre
247.1,248.7,men det känns bara så
249.2,250.2,läskigt
250.9,254.2,att att man inte skulle dö någon gång
255.5,256.1,liksom
257.2,260.8,att om man skulle liksom få evigt liv om man åt det här pillret då känns det som att
262.1,262.5,eh
304.8,305.4,ja
305.6,310.6,och om man då slutar att åldras då kanske man inte heller fick sådana här åldersåkommor
311.0,313.1,ja åldersnojja men också såhär
313.4,315.9,men du vet man börjar bli lite stel eh
316.3,318.0,man börjar få lite rynkor
324.5,325.1,haha
350.4,354.7,ja men det tyckte jag var bra poäng av dig att det liksom det finns det är ju typ så med allting
355.7,356.2,redan
426.3,427.5,ja
431.1,433.8,ja jag tänkte annars att det kanske är nu när du sade det där
434.0,435.2,jag tänkte att ehm
435.8,447.0,det kanske skulle liksom vara en bra lösning eller ett bra substitut mot sådana ganska eh liksom det är ganska farliga ingrepp som folk utsätter sig för för att
447.6,448.9,eh se bra ut
450.9,456.8,och eh då kanske det här pillret skulle vara liksom ett säkrare alternativ jag tänkte om man skulle försöka komma på något bra med det
464.8,465.2,ja
465.7,466.1,just det
466.3,466.7,mhm
510.6,511.7,jo men det är ju
512.9,515.6,det är ju såklart orättvist det tycker jag verkligen att det är
516.4,518.7,men ja som du sade det är ju det är ju så
519.4,520.2,med allt
520.9,522.3,och vem vet ja
524.6,526.1,det kanske inte
527.6,530.2,det skulle nog vara många som inte ville ta det här pillret också
531.8,532.4,ändå
583.1,589.7,men om man om man tog det pillret då skulle man ju faktiskt kunna gå till sådana här kliniker som finns i Schweiz du vet
590.3,594.1,och ehm eh vad heter det det heter ju man får själv
594.6,595.2,man får hjälp
595.5,596.4,liksom att
596.7,597.3,eh
598.325,599.815,avsluta sitt liv när man vill
