start_time_sec,end_time_sec,annotation
3.1,3.5,hej
4.7,5.4,ja
10.4,10.8,ja
18.5,19.1,ja
20.4,21.7,jo det var
22.0,22.6,eh ett
23.0,24.4,ett piller som har
25.4,25.9,eh
26.6,28.4,som får folk att sluta åldras
30.9,31.3,ja
32.5,34.4,eh så frågan är så om man
34.7,35.2,ska
35.5,39.4,tillåta det och det är också ett väldigt dyrt piller så det är bara
39.9,41.5,de alldra rikaste som har råd
44.9,45.4,ja
50.1,55.3,ja nej men det är ja det är svårt som alla sådana här dilemman men
55.8,57.5,spontant så känner jag väl
57.9,59.6,att det inte borde tillåtas
62.1,62.9,ja
64.9,66.7,vi tänker nog bara
67.1,67.4,eh
68.4,69.2,dels så
69.7,72.1,förstör man ju den naturliga gången
72.7,74.1,med åldrande och så
75.2,76.1,precis och då
76.7,76.9,ja
77.4,78.8,dör man inte av det iallafal
80.8,81.2,eh
103.5,105.5,det stod att man kan få evgt liv
107.0,107.6,så
108.3,112.9,jag gissar att det liksom att man åldras inte men man kan väl dö av andra orsaker
117.0,118.0,ja lite så
133.5,139.5,ja precis jag tänker också det och sedan så har vi problemet med överpopulation på
140.8,142.4,bostäder och
142.8,143.6,allt möjligt
146.3,149.6,ja det men hade ju varit alltså kanske om det finns någon
150.0,151.7,framstående forskare eller så
152.2,152.8,som kan
153.1,155.3,jag vet inte bota cancer eller något annat
155.9,156.6,jättebra
157.6,158.3,så är det
159.2,160.9,hade det ioförsig varit tråkigt om
161.1,163.0,han hade kunnat få den personen att
163.2,163.9,leva längre
165.8,167.6,att springa för att det är bra med det
170.9,175.9,alltså om det finns några personer som hade kunnat göra mycket bra
177.3,178.0,eh
179.3,183.0,om de då inte får tillgång till det här pillret som redan existerar
183.7,185.7,så hade man ju kunnat göra mycket bra
187.5,187.9,med det
247.5,248.3,ja just det
261.0,263.1,ja men det är ju det och sedan också
263.3,264.1,de ju bara är de
264.4,266.5,allra rikaste som kommer få
266.7,267.4,ta del av det
268.2,268.8,eh
270.7,271.8,jag tänker att det blir ju
273.0,274.3,det blir en skev
275.2,275.6,kanske
277.4,278.1,om
278.3,280.1,om människan jag vet inte
310.4,312.3,just det att det kan komma sen
313.5,314.1,just det
325.9,327.9,ja just det det har jag inte tänkt på
329.0,329.5,eh
332.3,333.7,naj men det är nog väl
335.2,336.7,och sedan tänker jag också liksom på
337.4,339.0,på jordens resurser och så
339.2,339.8,eh
340.2,340.6,för att eh
341.1,343.5,det finns inte så mycket kvar redan som det är nu
346.2,348.3,då kommer det liksom bli ännu fler som
348.5,350.3,ja jag vet inte jag lutar väl mer åt att
351.0,352.6,jag är negativt inställd till det
382.1,383.5,nej nej just det
390.7,392.4,ja det ja precis
392.6,394.1,nästan lite matrix över det
399.9,400.3,ja
404.0,404.7,vad sa du?
407.0,409.1,om jag om jag fick jag erbjudandet?
410.9,412.2,jag tror inte det
413.6,414.5,nej alltså
416.4,418.8,det beror på om man kan få
419.8,420.6,eh ett
421.5,424.3,ett till piller sen som gör att man kan ändra sig
425.5,426.4,jag tycker liksom
426.7,427.6,om det är så att
428.2,431.8,men lever på och sedan så känner man nej nu nu blev det bra för mig
432.2,433.3,och så kan man inte göra
433.6,434.7,någonting åt saken
435.1,435.7,typ ja
436.5,437.6,på ett naturligt sätt
441.2,442.0,och ja
446.4,447.0,just det
449.3,450.3,ja dödshjälp
459.6,460.1,ja
460.3,461.7,ja det ja det
461.9,462.8,jättesvårt
463.1,464.5,det är en jättestor fråga
479.8,480.5,ja just det
484.3,485.1,ja verkligen
499.4,500.0,nej
501.0,501.8,precis
504.8,506.4,att folk tar det lite mer för givet
507.9,508.5,just det
508.9,509.4,ja
517.4,517.9,just det
518.7,520.3,ja det finns ingenting kvar
522.0,523.6,nej det blir ju ganska långtråkigt
526.5,526.8,men så
536.5,537.2,just det
538.7,539.7,det är häftigt
542.0,542.7,det är sant
543.0,543.4,ja
543.6,544.5,jo jag tänker
545.2,546.5,typ på på de som
547.0,547.8,eh
548.1,551.7,föddes på typ 20-talet och dog typ
552.1,553.4,ja någonstans liksom
554.1,556.7,på 2000-talet har ju liksom fått se
557.5,559.1,otrolig samhällsförändring
562.1,564.9,och man kanske kan vara med om samma sak det är ju rätt häftigt
566.5,567.2,absolut
580.6,581.2,just det
584.2,584.7,just det
587.82,588.15,ja
