start_time_sec,end_time_sec,annotation
60.4,61.2,
69.19,69.51,
129.0,129.6,
129.9,130.5,
136.3,136.9,
141.8,143.1,
174.5,179.7,
213.4,213.8,
218.0,218.6,
223.5,224.3,
224.6,225.5,
227.0,227.5,
229.1,229.8,
232.5,232.8,
233.2,235.3,
238.4,239.1,
252.1,252.7,
261.9,264.6,
268.5,269.4,
272.6,280.5,
296.3,296.8,
306.8,307.4,
323.6,324.0,
332.9,333.22,
374.6,375.3,
378.5,382.4,
391.0,391.4,
392.3,394.1,
396.4,397.0,
398.9,399.5,
408.0,415.0,
422.5,426.5,
450.8,456.0,
470.1,474.1,
492.4,493.0,
521.6,522.2,
538.2,538.9,
543.8,544.2,
568.9,574.9,
591.0,591.7,
595.4,595.7,
596.3,596.9,
597.3,598.3,
599.155,599.825,
