start_time_sec,end_time_sec,annotation
2.0,2.5,Hej
5.299,6.099,Hej Carmen
9.0,10.0,Det är precis
16.3,18.1,Ja det handlade om det här
18.3,20.899,med chip i handen
21.699,25.0,Operera in ett chip som är lika stor som ett riskorn
25.8,30.0,Alltså slipper man ha kreditkort i kasserkos och butikos på sig
33.0,33.299,Mm
34.2,35.2,Precis
35.899,36.799,Det tycker jag också
52.799,58.2,Ja precis men det är nog många som anser att det är bekvämt Jag vill inte göra ett sånt ingrepp i min kropp
63.2,63.5,hmm
76.2,79.299,Jag tror att det är anledningen varför många väljer det
80.799,81.599,Men
88.7,89.099,Det
93.0,93.9,Ja precis
95.0,98.4,Man vet ju inte hur det kan komma att lyckas i framtiden
99.4,100.5,Om det redan finns ett chip
101.0,102.4,i kroppen på oss folk
102.799,103.599,Hur man väl
104.599,107.5,lagstiftare eller så vidare väljer då ut det
107.799,112.2,Och använda chipet till annat än vad det ursprungligen var
114.2,115.299,Till exempel
117.099,120.299,Till exempel i Kina eller i andra länder så finns det ju
121.0,123.5,social credit scoresystem
125.0,127.4,Sanna teppra övervaknings
128.0,129.3,samhälle
131.8,135.8,Det är en oro väckande utveckling
138.4,142.4,Det handlar det nog mest om min del om att jag vill hålla min kropp intakt
142.9,144.599,Jag vill inte
145.099,146.9,Har metaller i kroppen i onödan
151.3,151.699,Eh
176.3,176.699,precis
178.5,179.0,Precis
185.5,186.0,Visst det
187.099,187.699,Precis
191.9,192.3,Nej
193.599,200.3,Ett av hållbarhetsmålen i Agenda 2030 är ju bland annat att vi ska ha
200.8,210.4,Femtonminuterssamhällen alltså femtonminutersstäder att man aldrig ska behöva förflytta sig längre än femton minuter att allting ska finnas inom en radie av femton minuter
212.0,212.9,att
213.3,218.199,Med tanke på det så tänkte jag det du sa om att resa och förflytta sig
218.699,222.4,Inte till mot göra det eventuellt med en sån där chip i handen
223.0,225.099,Så det är kanske en del i att
225.8,228.3,Ja det låter som att det är nära
228.5,229.599,Verklighets
230.5,232.5,Är mer häragenters sekretess involverat
243.199,246.3,Men målet är att man inte ska behöva resa för det är ju sämre på miljön
247.699,255.199,Då ska allting till hans men att det inte blir så extremt att man inte tillåter folk att flytta sig längre över gränserna
256.0,257.0,Då kan man ju
257.199,260.3,Då behöver man även vakande sig typ om man ändå gör det
265.6,266.0,Men
278.3,281.0,Ja precis det förekommer ju i andra delar av världen
282.1,284.3,Jag vet inte hur nära det är i verklighet i Sverige
294.6,297.1,Det finns också andra aspekter
297.199,298.3,att
300.1,304.3,Man inte vill ha metaller i kroppen för att det blockerar energier
314.5,316.699,Ja verkligen jag tycker att det är mycket spännande
317.1,317.8,Eh
318.1,319.6,När man som jag lever med
320.199,325.0,Med alla förmågor så kan det göra att det blockerar otackighet
326.1,327.199,Och sådär
332.0,332.399,Nej
335.8,336.899,Just det
339.199,339.6,Eh
340.3,340.899,Precis
341.3,343.6,Är man använder det inte ens arängen eller
343.8,345.8,Men får man smycka för detta Milbyxel
364.0,373.699,Jag tänker på de här aspekterna som vi pratade om farhågorna kring att det kan utökas på fel sätt men också i mitt eget personliga fall att jag inte vill ha onödiga metaller
374.3,375.699,på eller i kroppen
376.699,377.199,Eh
381.399,381.899,Mm
408.3,409.899,Där är väl i princip ingen som gör
441.699,442.1,Precis
445.1,449.0,Jättebra aspekt där
449.5,454.3,Att privata företag har ganska stor makt redan banker och så vidare
455.0,459.5,Styr och ställa med folks stänga av folks swish
460.899,464.399,Begränsa människors rörelsefrihet redan
465.399,469.0,Kan man inte använda sin bankid så är man ju ganska handikappad i dagens samhälle
478.04,478.6,mhm
479.399,480.1,Absolut
481.5,482.0,Nej
501.32,509.199,Jag tror att det är många som är lite sådär suktar efter vad framtiden bär med sig alltså tycker att det är lite coolt kanske att vi har
509.699,512.1,Kommer på såna här uppfinningar eventuellt
513.0,516.799,Jag vet att när Elon Musk pratade om det här för första gången det var kanske
517.2,518.6,810 år sedan
519.2,522.0,Då var det ju väldigt många som kunde tänka sig
522.2,523.0,använda
523.799,530.5,Alltså framtidens chip just att det är så coolt Nu är framtiden här och det känns lite spacat
530.899,532.0,Det rymde
532.399,533.2,känsla över
533.7,534.5,Eh
535.299,538.5,Så jag tror att många tycker att det är en cool grej
538.7,540.799,Först ut med såna här saker
541.899,546.899,Vill man vilja vara först ut med att köpa senaste teknikapparaturen
547.799,553.5,De senaste mobiltelefonmodellerna ja men då ska man vara först ut med chip i handen också
557.6,558.0,Ja
562.7,563.1,eh
563.299,564.399,och innovationer
564.7,566.1,tekniska innovationer
569.2,573.1,Nej men det är ingenting för mig i alla fall men det finns säkert de som tycker att det är jättebekvämt
592.01,592.49,mhm
