start_time_sec,end_time_sec,annotation
2.399,3.299,3
7.799,35.1,4
39.2,48.1,3
51.0,54.1,2
65.299,66.599,3
82.9,86.799,3
97.599,101.5,4
107.299,108.0,3
140.0,142.5,3
144.099,146.0,3
151.9,156.3,4
165.4,180.3,4
183.099,187.599,4
197.199,201.8,2
209.0,234.699,2
240.199,259.399,4
265.3,274.8,2
285.899,305.1,4
310.399,319.899,4
325.899,329.0,2
335.5,366.8,2
390.199,390.8,3
401.899,405.1,4
418.199,422.1,2
429.699,439.6,2
444.0,449.699,2
458.589,460.5,2
476.6,489.699,2
495.5,507.699,2
522.2,524.399,3
528.44,564.1,2
570.7,578.399,2
585.0,585.799,3
593.7,594.6,3
