start_time_sec,end_time_sec,annotation
1.6,2.299,5
6.4,43.299,3
46.799,48.7,2
60.299,61.1,4
73.2,73.5,4
86.099,95.7,2
106.799,111.799,2
137.599,142.0,3
144.4,146.199,3
151.599,153.599,2
164.699,168.0,3
173.5,186.0,4
194.699,196.099,3
204.28,206.5,1
211.3,212.099,3
236.3,237.3,2
242.599,248.3,2
254.199,255.9,3
263.5,264.399,2
271.899,276.8,3
290.6,300.1,3
304.5,307.1,2
310.8,314.6,3
318.8,320.8,3
324.16,328.1,2
330.1,333.899,3
338.8,339.199,5
350.8,353.3,1
356.199,425.0,3
429.8,465.699,2
471.8,473.1,2
481.1,481.899,5
484.399,510.899,4
512.799,518.799,3
522.0,522.7,3
526.6,529.1,4
531.299,532.7,3
536.2,537.1,4
540.899,550.0,4
564.6,566.399,4
589.38,600.0,1
