start_time_sec,end_time_sec,annotation
1.399,1.8,5
6.4,23.199,3
42.0,42.399,3
51.6,54.2,3
74.599,75.2,3
93.2,104.2,2
109.84,113.799,2
122.0,125.799,3
130.199,139.099,3
144.699,162.9,3
171.099,174.099,3
191.4,206.0,2
216.4,228.4,3
246.599,248.3,3
252.8,253.9,3
260.3,260.8,3
269.84,277.199,2
282.8,306.199,3
310.199,317.5,3
330.899,365.0,3
370.1,375.5,3
380.8,381.6,3
391.6,393.1,3
414.8,417.199,3
421.1,423.1,3
433.699,434.3,3
438.6,440.3,3
450.1,458.1,3
468.5,470.199,3
474.8,495.699,3
505.6,516.0,2
522.7,528.7,3
533.5,534.6,3
543.6,551.5,3
555.56,583.899, 3
590.1,592.399,2
