start_time_sec,end_time_sec,annotation
1.399,1.8,3
6.4,23.199,4
42.0,42.399,3
51.6,54.2,3
74.599,75.2,3
93.2,104.2,4
109.84,113.799,4
122.0,125.799,4
130.199,139.099,4
144.699,162.9,4
171.099,174.099,4
191.4,206.0,4
216.4,228.4,4
246.599,248.3,4
252.8,253.9,4
260.3,260.8,3
269.84,277.199,4
282.8,306.199,2
310.199,317.5,4
330.899,365.0,4
370.1,375.5,4
380.8,381.6,3
391.6,393.1,3
414.8,417.199,4
421.1,423.1,4
433.699,434.3,3
438.6,440.3,3
450.1,458.1,2
468.5,470.199,2
474.8,495.699,2
505.6,516.0,4
522.7,528.7,2
533.5,534.6,3
543.6,551.5,4
555.56,583.899,2
590.1,592.399,4
