start_time_sec,end_time_sec,annotation
0.6,1.199,Hej
3.5,4.7,Det är jag som är Caroline
7.9,9.199,Vi måste ju träffas
9.5,12.4,Vi ska ju prata om tre etiska dilemman idag
15.5,22.1,Men jag har faktiskt inte fått veta vilka dilemman vi ska diskutera så skulle du vilja börja med att berätta om dilemma ett
33.6,34.399,Mm
48.6,49.7,Mmm
51.6,52.7,Jag förstår
53.1,53.899,Ja
54.2,63.6,På ett sätt skulle man ju kunna tänka att om föräldrarna får följa barnen så borde ju barnen få följa föräldrarna tillbaka Fast jag vet inte vad tycker du
67.799,68.5,Mm
75.7,76.5,Aha
79.2,82.299,Jaha du menar att den här appen skulle kunna
82.5,85.799,Missbrukas kanske framförallt av föräldrar i sådana fall
92.5,100.799,Just det De flesta föräldrar är nog oroliga bara och vill se till att det går bra för ens barn men vissa föräldrar skulle nog
101.099,104.4,kunna använda den här appen för att kontrollera sina barn
105.5,112.0,Å ena sidan kan man ju tänka sig att de föräldrarna som skulle missbruka appen
112.299,114.0,De kanske skulle
115.2,122.099,De kanske utövar sin makt på andra oetiska sätt med eller utan den här appen
123.4,124.0,Och
132.8,133.8,Mmhm
136.0,137.3,Ja just det
139.199,142.099,Just det det är en bra poäng
143.199,146.3,Det finns ju såklart alltid en risk med
146.699,152.199,Att ha någon slags GPSfunktion på
153.099,155.3,Maskiner som barn bär med sig
157.099,159.0,Mm det stämmer
166.599,168.4,Ja berätta vad tänker du
172.4,173.0,Mm
181.199,182.599,Ja just det
183.3,186.9,Eller om man råkat tappa bort telefonen det gör ju barn ofta
197.699,198.599,Bestämmer
204.4,206.099,Jag håller med dig faktiskt
207.699,210.8,Jag känner mig lätt positiv till den här idén
212.8,214.099,Hur känner du dig
219.199,220.3,Okej
221.199,222.599,Och det har att göra med
237.8,238.599,Jag förstår
239.3,240.699,Jag tycker att det är
241.5,243.4,Bra argument emot
244.4,247.0,Å andra sidan skulle man kunna tänka att
247.699,248.699,De här problemen
249.199,251.9,Det finns redan med eller utan den här appen
253.0,254.4,Finns det inte såna här
255.5,258.899,find my phonefunktioner till iPhone och så
265.1,266.899,Men kan föräldrarna använda den
268.1,271.5,Anföräldrar använda den funktionen för att se vart ens barn är
273.199,274.1,Okej
286.899,287.699,Ja
288.3,299.699,Jag tycker definitivt att om den här appen skulle finnas och föräldrar kunde följa barn och barn kunde följa föräldrar då borde för det första båda parter ge sitt medgivande
300.0,305.699,Men också för det andra så tycker jag att det ska finnas en funktion där man kan stänga av GPSen när man vill
314.5,315.5,Okej
316.399,317.399,Okej
328.0,328.899,Hmmm
331.1,333.0,Jag tror faktiskt det
334.199,340.3,Det skulle vara svårt att låta bli att ha en sån här app om det fanns där ute på marknaden
341.0,345.899,Göra någonting extra för att ens barn eventuellt skulle vara säkrare
346.6,347.899,Men vad tycker du
348.399,349.899,Skulle du ha en sån app
359.899,360.6,Ja
361.8,364.0,Såklart det kommer ju finnas problem
364.3,366.3,Men vissa föräldrar kanske
366.899,369.6,Ja de här kontrollerande föräldrarna som vi pratade om
370.699,371.6,Dom
373.199,377.6,De kommer säkert bli upprörda när barnet stänger av sin GPSfunktion
378.399,380.399,Eller en tonåring för den delen
381.5,383.0,Då vet man ju inte vad som
384.199,386.3,Vad som blir konsekvenserna för barnet
388.3,390.6,Å andra sidan så kan man ju fråga sig om det är
391.199,392.5,appens
394.0,395.6,ansvar på något sätt
406.399,407.1,Mm
411.1,411.8,Hm
413.6,416.5,Men om vi försöker fundera kan vi komma på
417.199,419.8,Några fler för eller nackdelar
420.899,422.1,Den här appen
434.699,435.399,Hmm
437.1,438.399,Ja det skulle vara
438.899,447.6,Om någon råkade ut för någonting allvarligt sånt är väldigt osannolikt men till exempel om någon skulle kidnappas eller så
448.199,454.699,Då skulle den här appen vara väldigt hjälpsam eller åtminstone ha potential till att ha varit väldigt hjälpsam
465.6,466.699,Ja just det
470.1,471.899,Ja just det det är en bra poäng
473.6,474.6,Hmm
476.6,481.0,Ja barnet kanske inte ens skulle få med sig telefonen i ett sånt fall
486.199,486.899,Ja
489.8,493.1,Man skulle i och för sig få information om vad barnet
495.5,496.8,Det fanns ju
497.1,498.3,senast
511.399,512.5,Ja just det
518.2,523.399,Ja det låter som en bättre idé nästan Och har inte människor sådana
525.2,528.0,Klockor som har mobiltelefonfunktion
532.299,532.899,Ja
539.6,540.299,Ja
542.399,544.799,Det kanske redan finns GPSfunktion på dem
549.7,551.2,Men du har ingen sån
555.5,556.1,Ja
558.6,559.6,Ja just det
562.7,563.399,Mm
565.299,566.1,Nej
569.6,572.399,Ja det finns säkert men det kanske heter någonting annat
573.899,575.399,Men jag vet inte vad jag
576.399,577.899,namnet skulle vara
589.1,589.5,Ja
592.1,593.1,Ja just det
595.6,600.0,Hade du användning av Find My Phonefunktionen på din gamla telefon
